"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7941","Registration - Too short password","tests","2026-04-25","passed","2026-04-25","","test_authentication","",""
"","8429","Registration - Password mismatch","tests","2026-04-26","passed","2026-04-26","","test_registration_validation","",""
"","1807","Registration with invalid email","","2026-04-26","passed","2026-04-26","","","",""
"","8377","Registration - Blank fields submit","","2026-04-26","passed","2026-04-26","","","",""
"","8855","Registration with invalid email","tests","2026-04-26","failed","2026-04-26","","test_authentication","",""
"","8185","test_job_search_and_save","tests","2026-04-25","passed","2026-04-25","","test_job_flow","",""
"","7646","Registration - Password mismatch","tests","2026-04-25","passed","2026-04-25","","test_authentication","",""
"","8437","Registration - Blank fields submit","tests","2026-04-25","passed","2026-04-26","","test_registration_validation","",""
"","7621","Registration with invalid email","tests","2026-04-25","failed","2026-04-25","","test_registration_validation","",""
"","7724","Registration - Too short password","tests","2026-04-26","passed","2026-04-26","","test_registration_validation","",""
"","15059","test_change_password","tests","2026-04-25","passed","2026-04-25","","test_profile","",""
"","6948","User Registration - Positive","tests","2026-04-25","passed","2026-04-25","","test_registration","",""
"","5763","test_login_negative","tests","2026-04-23","passed","2026-04-23","","test_authentication","",""
"","8749","test_login_positive","tests","2026-04-23","passed","2026-04-23","","test_authentication","",""
"","7034","Registration with invalid email","","2026-04-26","passed","2026-04-26","","","",""
"","5367","Registration with existing email","tests","2026-04-25","passed","2026-04-25","","test_registration","",""
"","17024","Registration with invalid email","","2026-04-25","passed","2026-04-25","","","",""
"","8311","Registration - Blank fields submit","tests","2026-04-25","passed","2026-04-25","","test_authentication","",""
"","8108","Recruiter Registration - Invalid phone number","tests","2026-04-26","failed","2026-04-26","","test_registration_validation","",""
"","7894","Recruiter Registration - Invalid phone number","tests","2026-04-25","failed","2026-04-25","","test_authentication","",""
"","9790","test_case_4","tests","2026-04-25","passed","2026-04-25","","test_recruiter_registration","",""
